id,value
"Jordan, Jerome",5.8
"Sullinger, Jared",3.7
"Thornton, Marcus",15
"Turner, Evan",2.4
"Hairston, PJ",3.4
"Hairston, PJ",2.4
"Vonleh, Noah",5.4
"Salmons, John",13.1
"Fredette, Jimmer",3
"Fredette, Jimmer",2.1
"Patterson, Patrick",1.3
"Hayes, Charles",1.6
"Bryant, Kobe",13.2
"Love, Kevin",1.4
"Harris, Joe",0.3
"Waiters, Dion",5.1
"James, LeBron",4.7
"James, LeBron",2.8
"Irving, Kyrie",0.6
"Cherry, Will",11.6
"Jones, James",4.8
"Diaw, Boris",2.3
"Diaw, Boris",4.6
"Parker, Tony",1.3
"Diaw, Boris",14.7
"Ginobili, Manu",2
"Allen, Lavoy",1.8
"Rudez, Damjan",16.9
"Copeland, Chris",1.7
"Lowry, Kyle",2.8
"Williams, Lou",1.1
"Beverley, Patrick",7.5
"Jones, Terrence",4
"Motiejunas, Donatas",7.5
"Smith, Josh",8.2
"Ariza, Trevor",3.5
"Terry, Jason",3.5
"Motiejunas, Donatas",4.6
"Jones, Terrence",10.7
"Beverley, Patrick",3.9
"Jones, Terrence",4.8
"Haslem, Udonis",5.4
"Dragic, Goran",0
"Wade, Dwyane",3.8
"Beasley, Michael",6.3
"Haslem, Udonis",2.8
"Nicholson, Andrew",4.7
"Frye, Channing",3.7
"Frye, Channing",11.1
"Nicholson, Andrew",2.4
"Vucevic, Nikola",2
"Nowitzki, Dirk",4.8
"Villanueva, Charlie",10.7
"Powell, Dwight",6
"Smith, Greg",11.4
"Pachulia, Zaza",7.8
"Pachulia, Zaza",7.3
"Antetokounmpo, Giannis",1.6
"Dudley, Jared",3
"Mayo, O.J.",4.1
"Ilyasova, Ersan",2.2
"Middleton, Khris",5.5
"Patterson, Patrick",5.8
"Patterson, Patrick",2.8
"Hansbrough, Tyler",0.5
"Williams, Lou",1.3
"Hayes, Charles",6.3
"Johnson, Amir",4.1
"Vasquez, Greivis",3.6
"Johnson, Amir",5
"Johnson, Amir",4.6
"Hansbrough, Tyler",2.6
"Hansbrough, Tyler",6.8
"Crowder, Jae",5.8
"Prince, Tayshaun",3.7
"Sullinger, Jared",3.5
"Zeller, Tyler",5.2
"Zeller, Tyler",4.4
"Thornton, Marcus",11.2
"Wiggins, Andrew",4.9
"Dieng, Gorgui",5.9
"Young, Thaddeus",4.6
"Young, Thaddeus",4.6
"Young, Thaddeus",6.9
"Williams, Mo",2
"Bennett, Anthony",6.5
"Dieng, Gorgui",0.7
"Bennett, Anthony",10.4
"Muhammad, Shabazz",1.5
"Randolph, Zach",5.2
"Calathes, Nick",1.9
"Udrih, Beno",15.4
"Koufos, Kosta",5.7
"Gasol, Marc",9.1
"Lee, Courtney",3.4
"Allen, Tony",5.5
"Bogut, Andrew",1.3
"Green, Draymond",2.6
"Lee, David",3.5
"Lee, David",7
"Lee, David",13.4
"Barnes, Harrison",2.4
"Barnes, Harrison",4.1
"Temple, Garrett",2.6
"Humphries, Kris",4.9
"Humphries, Kris",3.6
"Beal, Bradley",1.4
"Fredette, Jimmer",12.8
"Anderson, Ryan",4.8
"Anderson, Ryan",4
"Pondexter, Quincy",10.5
"Davis, Anthony",2.6
"Fredette, Jimmer",6.4
"Asik, Omer",2.1
"Pondexter, Quincy",4
"Mbah a Moute, Luc",4.1
"Grant, Jerami",6.5
"Carter-Williams, Michael",8.6
"Noel, Nerlens",10.1
"Grant, Jerami",5.7
"Kaman, Chris",7.9
"Wright, Dorell",2.3
"Matthews, Wesley",8.4
"Kaman, Chris",2.9
"Wright, Dorell",7.4
"Anderson, Alan",2.6
"Lopez, Brook",4.1
"Morris, Darius",7.2
"Jefferson, Cory",4.6
"Johnson, Joe",4.6
"Johnson, Joe",6.5
"Hummel, Robbie",1.3
"LaVine, Zach",5.4
"Young, Thaddeus",4.5
"Dieng, Gorgui",5.2
"Ibaka, Serge",3.6
"Jackson, Reggie",2.5
"Waiters, Dion",3.2
"Perkins, Kendrick",2.4
"Durant, Kevin",3.8
"Scola, Luis",3.2
"Mahinmi, Ian",3.8
"Miles, CJ",10.7
"Mahinmi, Ian",7.6
"Rudez, Damjan",3.1
"Scola, Luis",1.6
"Tolliver, Anthony",3.9
"Tolliver, Anthony",13
"Tolliver, Anthony",2.3
"Butler, Caron",1.1
"Augustin, D.J.",2.5
"Monroe, Greg",4.1
"Jerebko, Jonas",5.8
"Tolliver, Anthony",6.2
"Tolliver, Anthony",4.3
"Tolliver, Anthony",4.8
"Tolliver, Anthony",2.1
"Tolliver, Anthony",6.1
"Meeks, Jodie",3.5
"Tolliver, Anthony",2.1
"Jerebko, Jonas",3.8
"Moore, E'Twaun",1.7
"Mirotic, Nikola",7.9
"Butler, Jimmy",1.1
"Mirotic, Nikola",8.2
"Mirotic, Nikola",2.9
"Mirotic, Nikola",3.5
"Rose, Derrick",0.1
"Johnson, James",2.1
"Patterson, Patrick",7.7
"Johnson, James",4.4
"Bass, Brandon",0.7
"Olynyk, Kelly",5
"Smart, Marcus",6.1
"Olynyk, Kelly",1.9
"Thornton, Marcus",1.4
"Pressey, Phil",3.5
"Sullinger, Jared",3.3
"Bradley, Avery",7
"Carter-Williams, Michael",1.5
"Covington, Robert",9.7
"Grant, Jerami",6.5
"Mbah a Moute, Luc",5.9
"Grant, Jerami",2.1
"Noel, Nerlens",7.3
"Noel, Nerlens",4.7
"Humphries, Kris",4.7
"Humphries, Kris",4.9
"Humphries, Kris",5.1
"Miller, Andre",13.6
"Butler, Rasual",9.4
Nene,4.4
"Miller, Andre",2.1
"Pierce, Paul",4.6
"Beal, Bradley",3.2
"Beal, Bradley",2.2
"Jerebko, Jonas",5.6
"Meeks, Jodie",11.6
"Tolliver, Anthony",6.1
"Singler, Kyle",2.3
"Tolliver, Anthony",14.6
"Tolliver, Anthony",5.5
"Monroe, Greg",4.6
"Prince, Tayshaun",4.2
"Udrih, Beno",5.3
"Leuer, Jon",3.4
"Prince, Tayshaun",3.1
"Prince, Tayshaun",3.4
"Griffin, Blake",5.3
"Griffin, Blake",4.7
"Griffin, Blake",3.8
"Hawes, Spencer",2.5
"Griffin, Blake",2
"Blake, Steve",2.9
"Wright, Dorell",4.5
"Wright, Dorell",2.9
"Exum, Dante",4.9
"Booker, Trevor",5.1
"Ingles, Joe",7.4
"Gobert, Rudy",5.6
"Kanter, Enes",8.1
"Kanter, Enes",5.3
"Kanter, Enes",2.9
"Exum, Dante",4
"Love, Kevin",5.6
"Amundson, Lou",6
"Irving, Kyrie",2.3
"Thompson, Tristan",7.4
"Thompson, Tristan",6.7
"Jones, James",1.9
"Jones, James",1.3
"Jones, James",1.9
"Jones, James",2.4
"Henson, John",1.8
"Dudley, Jared",3.2
"Dudley, Jared",2.4
"Bayless, Jerryd",4.8
"Dudley, Jared",5.9
"Henson, John",5.2
"Dudley, Jared",5.7
"Henson, John",2.1
"Bayless, Jerryd",6.2
"Turkoglu, Hedo",5.1
"Nowitzki, Dirk",4.7
"Parsons, Chandler",3.8
"Rondo, Rajon",2.3
"Ellis, Monta",2.8
"Beverley, Patrick",2
"Papanikolaou, Kostas",3.5
"Black, Tarik",4.2
"Black, Tarik",3.3
"Harden, James",3.9
"Howard, Dwight",6.5
"Varejao, Anderson",4.2
"Thompson, Tristan",7.6
"Marion, Shawn",6.2
"Love, Kevin",8.2
"Jones, James",1.6
"Jones, James",3.4
"Amundson, Lou",2.7
"Gibson, Taj",5.8
"Mirotic, Nikola",6.9
"Gibson, Taj",7.1
"Gibson, Taj",2.3
"Mirotic, Nikola",1.2
"Gordon, Ben",18.3
"Frye, Channing",5.4
"Frye, Channing",6
"Frye, Channing",4.6
"Frye, Channing",7.4
"Vucevic, Nikola",4
"Frye, Channing",3.8
"Dedmon, Dewayne",5.9
"O'Quinn, Kyle",4.3
"Frye, Channing",2.5
"Frye, Channing",2.4
"Frye, Channing",4.3
"Rudez, Damjan",11
"Scola, Luis",3.4
"Scola, Luis",3.4
"Scola, Luis",2.8
"Scola, Luis",6.4
"Arthur, Darrell",3.8
"Arthur, Darrell",4.2
"Harris, Gary",1.9
"Lawson, Ty",1.5
"Gallinari, Danilo",2.8
"Afflalo, Arron",0
"Lopez, Brook",8.6
"Anderson, Alan",3.2
"Teletovic, Mirza",3.6
"Garnett, Kevin",5.4
"Garnett, Kevin",5.7
"Jefferson, Cory",8
"Hamilton, Justin",3.4
"Bosh, Chris",5.8
"Bosh, Chris",1.9
"Ennis, James",6.9
"Haslem, Udonis",5.6
"Thornton, Marcus",2.4
"Bass, Brandon",2.9
"Maxiell, Jason",3.2
"Maxiell, Jason",5.3
"Walker, Kemba",0.6
"Henderson, Gerald",12
"Hairston, PJ",5.6
"Hairston, PJ",4.2
"Hairston, PJ",3.4
"Anderson, Ryan",4.2
"Evans, Tyreke",1.7
"Anderson, Ryan",5.9
"Johnson, Amir",2.4
"Johnson, Amir",2.8
"Hayes, Charles",3.3
"Johnson, James",3.1
"Johnson, James",6.3
"Gooden, Drew",7.9
"Miller, Andre",6.6
"Gooden, Drew",10.3
"Wall, John",4.8
"Beal, Bradley",2.6
"Pierce, Paul",2.5
"Gooden, Drew",9.9
"Pierce, Paul",1.7
"Butler, Rasual",4
"Gooden, Drew",3.1
"Jerebko, Jonas",1.2
"Singler, Kyle",3.5
"Jerebko, Jonas",5.5
"Jerebko, Jonas",6.2
"Davis, Ed",2
"Price, Ronnie",6.2
"Boozer, Carlos",7.6
"Boozer, Carlos",11.9
"Young, Nick",2.9
"Boozer, Carlos",5.6
"Boozer, Carlos",6.2
"Hill, Jordan",5.8
"Davis, Ed",3.5
"Davis, Ed",6.1
"Davis, Ed",3.5
"Varejao, Anderson",4.2
"Irving, Kyrie",11.2
"James, LeBron",1.9
"Thompson, Tristan",7.3
"Thompson, Tristan",6
"Amundson, Lou",3.5
"Cherry, Will",3.5
"Waiters, Dion",2.3
"Bosh, Chris",3.1
"Haslem, Udonis",3.1
"Haslem, Udonis",4.8
"Brown, Shannon",4.6
"Haslem, Udonis",0
"Haslem, Udonis",2.9
"Bosh, Chris",3.5
"Bosh, Chris",4.9
"Early, Cleanthony",4.5
"Smith, Jason",3.2
"Smith, Jason",2.4
"Smith, Jason",5
"Smith, Jason",5.3
"Smith, Jason",3.7
"Smith, Jason",7.2
"Smith, Jason",3.5
"Smith, Jason",3.8
"Smith, Jason",4.3
"Smith, Jason",5.3
"Smith, Jason",4.1
"Smith, Jason",5.5
"Stoudemire, Amar'e",3.2
"Zeller, Cody",4.7
"Zeller, Cody",6.6
"Williams, Marvin",4.3
"Roberts, Brian",5.2
"Zeller, Cody",4.3
"Zeller, Cody",5.7
"Walker, Kemba",1.4
"Walker, Kemba",2.1
"Joseph, Cory",3.1
"Joseph, Cory",4.9
"Joseph, Cory",3.2
"Ginobili, Manu",14
"Daye, Austin",4.6
"Diaw, Boris",6.1
"Diaw, Boris",3
"Allen, Lavoy",5.4
"DeRozan, DeMar",4.5
"Patterson, Patrick",3.7
"Patterson, Patrick",4
"Patterson, Patrick",8.2
"Patterson, Patrick",2.1
"Johnson, Amir",10.3
"Patterson, Patrick",4.4
"Patterson, Patrick",7.3
"Patterson, Patrick",4.4
"Johnson, Amir",7.2
"Johnson, Amir",6.9
"Beverley, Patrick",5.8
"Jones, Terrence",2.6
"Beverley, Patrick",5
"Motiejunas, Donatas",6.6
"Motiejunas, Donatas",1
"Jones, Terrence",7.3
"Jones, Terrence",4.5
"Beverley, Patrick",6.5
"Motiejunas, Donatas",1
"Smith, Josh",1.9
"Beverley, Patrick",20.2
"Terry, Jason",6.5
"Dedmon, Dewayne",8.8
"Oladipo, Victor",6.3
"Green, Willie",1.5
"Payton, Elfrid",5.4
"Payton, Elfrid",1.5
"Frye, Channing",5.2
"Payton, Elfrid",6.7
"Vucevic, Nikola",6.7
"Payton, Elfrid",4.9
"Payton, Elfrid",2.4
"Vucevic, Nikola",2.6
"Oladipo, Victor",1.1
"Vucevic, Nikola",2.3
"Harris, Tobias",3.9
"Frye, Channing",4.1
"Barea, Jose Juan",4.6
"Jefferson, Richard",5.1
"James, Bernard",3.8
"Barea, Jose Juan",8.3
"Barea, Jose Juan",1.8
"Barea, Jose Juan",6.1
"Barea, Jose Juan",11.2
"Jefferson, Richard",2.3
"James, Bernard",1.6
"Bayless, Jerryd",4
"Bayless, Jerryd",3.3
"Bayless, Jerryd",3.8
"Middleton, Khris",4
"Pachulia, Zaza",3
"Dudley, Jared",4.6
"Henson, John",3.4
"Dudley, Jared",4.5
"Lowry, Kyle",7.6
"Lowry, Kyle",5.6
"Johnson, Amir",4.5
"Williams, Lou",3.5
"Williams, Lou",1.5
"Johnson, Amir",4.1
"Valanciunas, Jonas",2.3
"Valanciunas, Jonas",4.9
"Williams, Lou",4.8
"Smart, Marcus",2.3
"Turner, Evan",5.1
"Bradley, Avery",1.3
"Bradley, Avery",4.3
"Turner, Evan",4.6
"Turner, Evan",9.4
"Sullinger, Jared",3.6
"Sullinger, Jared",1.9
"Sullinger, Jared",5.6
"Prince, Tayshaun",2
"Smart, Marcus",6.3
"Sullinger, Jared",2.3
"Rubio, Ricky",4.1
"Pekovic, Nikola",6.4
"Pekovic, Nikola",4.3
"Rubio, Ricky",6.5
"Williams, Mo",1.6
"Young, Thaddeus",8.1
"Rubio, Ricky",2.8
"Conley, Mike",2.7
"Udrih, Beno",5.2
"Randolph, Zach",3.9
"Conley, Mike",1.2
"Randolph, Zach",3.3
"Conley, Mike",3.7
"Conley, Mike",0.2
"Gasol, Marc",2.8
"Gasol, Marc",4.8
"Conley, Mike",1.7
"Green, Jeff",3
"Conley, Mike",2.1
"Conley, Mike",2.5
"Thompson, Klay",20.9
"Green, Draymond",3.1
"Curry, Stephen",6.4
"Green, Draymond",3
"Curry, Stephen",5.2
"Bogut, Andrew",3.6
"Iguodala, Andre",2.5
"Curry, Stephen",2.7
"Curry, Stephen",0.7
"Bogut, Andrew",3.8
"Barnes, Harrison",8.4
"Bogut, Andrew",5.3
"Green, Draymond",0.3
"Thompson, Klay",2.2
"Curry, Stephen",2.7
"Wall, John",5.8
"Gortat, Marcin",6.5
"Pierce, Paul",8.2
"Gortat, Marcin",5.2
"Seraphin, Kevin",0.2
"Beal, Bradley",2.4
"Webster, Martell",2.4
"Webster, Martell",0.7
"Wall, John",3
"Beal, Bradley",5.2
"Wall, John",5.8
"Gortat, Marcin",7.2
"Gortat, Marcin",1.2
"Gordon, Eric",6.6
"Gordon, Eric",8.1
"Davis, Anthony",3
"Evans, Tyreke",5
"Gordon, Eric",3.5
"Davis, Anthony",2
"Anderson, Ryan",2.8
"Anderson, Ryan",2.2
"Pondexter, Quincy",2.2
"Asik, Omer",2
"Davis, Anthony",5.3
"Evans, Tyreke",5.3
"Evans, Tyreke",2.4
"Pondexter, Quincy",1.4
"Pondexter, Quincy",0.6
"Asik, Omer",4.7
"Anderson, Ryan",1.4
"Carter-Williams, Michael",6.8
"Grant, Jerami",3.4
"Carter-Williams, Michael",8.4
"Carter-Williams, Michael",2.8
"Grant, Jerami",7.8
"Covington, Robert",3.3
"Carter-Williams, Michael",1
"Thompson, Hollis",2.2
"Drew, Larry",7
"Thompson, Hollis",5.5
"Grant, Jerami",6.1
"Mbah a Moute, Luc",5
"Matthews, Wesley",5.5
"Lillard, Damian",3.4
"Blake, Steve",5
"Blake, Steve",0.8
"Kaman, Chris",0.7
"Batum, Nicolas",0.7
"Wright, Dorell",6
"Leonard, Meyers",1.2
"Aldridge, LaMarcus",6.9
"Lillard, Damian",2.3
"Lillard, Damian",4
"Blake, Steve",4.1
"Leonard, Meyers",1.4
"Leonard, Meyers",0.3
"Aldridge, LaMarcus",5.5
"Batum, Nicolas",3.9
"Kaman, Chris",6.1
"Jack, Jarrett",5.2
"Jack, Jarrett",2.9
"Jack, Jarrett",2.5
"Lopez, Brook",2.3
"Morris, Darius",6.7
"Jack, Jarrett",6.3
"Anderson, Alan",8.8
"Plumlee, Mason",2.2
"Jack, Jarrett",0.9
"Anderson, Alan",4.7
"Jack, Jarrett",3.5
"Bogdanovic, Bojan",0.8
"Lopez, Brook",2.3
"Jack, Jarrett",6.4
"Jack, Jarrett",1.8
"Jack, Jarrett",1.1
"Wiggins, Andrew",2.9
"Pekovic, Nikola",6.1
"Williams, Mo",1.7
"Williams, Mo",3
"Dieng, Gorgui",6.7
"Young, Thaddeus",2.1
"Hummel, Robbie",2.2
"Williams, Mo",2.6
"Dieng, Gorgui",1.9
"Williams, Mo",6.8
"Wiggins, Andrew",3.4
"Pekovic, Nikola",2.9
"Pekovic, Nikola",4.2
"Pekovic, Nikola",2.4
"Adams, Steven",5.4
"Waiters, Dion",6.2
"Waiters, Dion",1.6
"Ibaka, Serge",4.1
"Ibaka, Serge",2.3
"Ibaka, Serge",7.1
"Westbrook, Russell",0.8
"Roberson, Andre",12
"Westbrook, Russell",2.1
"Adams, Steven",1.9
"Adams, Steven",1.1
"Ibaka, Serge",5.8
"Westbrook, Russell",15.9
"Watson, CJ",3.4
"West, David",6.7
"West, David",7.2
"Miles, CJ",1.6
"Stuckey, Rodney",0.3
"Watson, CJ",1.8
"Watson, CJ",4.3
"Sloan, Donald",2.3
"Sloan, Donald",2.9
"West, David",2.8
"Watson, CJ",3.6
"Scola, Luis",9.3
"Rudez, Damjan",7.2
"Singler, Kyle",2.4
"Jennings, Brandon",4.7
"Jennings, Brandon",3.4
"Drummond, Andre",3.2
"Jennings, Brandon",1.3
"Augustin, D.J.",3.8
"Jerebko, Jonas",1.2
"Jennings, Brandon",8.3
"Drummond, Andre",1.3
"Drummond, Andre",2.1
"Jennings, Brandon",4.2
"Tolliver, Anthony",1.9
"Monroe, Greg",0
"Jennings, Brandon",0.3
"Caldwell-Pope, Kentavious",1.1
"Gasol, Pau",2.7
"Rose, Derrick",22.5
"Gibson, Taj",6.8
"Gibson, Taj",6.3
"Mirotic, Nikola",5.4
"Brooks, Aaron",5.9
"Rose, Derrick",3.6
"Rose, Derrick",3.7
"Gibson, Taj",3.8
"Gibson, Taj",1.9
"Gasol, Pau",0.1
"Butler, Jimmy",37.9
"Mirotic, Nikola",6.8
"Brooks, Aaron",7.1
"Hinrich, Kirk",1.8
"Rose, Derrick",2.4
"Lowry, Kyle",15
"Valanciunas, Jonas",5.6
"DeRozan, DeMar",4.9
"Johnson, Amir",1.8
"Johnson, James",18.8
"Johnson, Amir",7.7
"Lowry, Kyle",4.8
"Valanciunas, Jonas",6.9
"Johnson, James",1.1
"Johnson, James",3.4
"Johnson, James",1.3
"Vasquez, Greivis",1.6
"Bradley, Avery",5.7
"Bradley, Avery",8.5
"Bradley, Avery",3.5
"Smart, Marcus",7.4
"Bass, Brandon",5
"Bass, Brandon",5.4
"Bradley, Avery",3.3
"Bradley, Avery",1.2
"Smart, Marcus",6.7
"Bradley, Avery",4.2
"Bradley, Avery",4.8
"Turner, Evan",5.4
"Pierce, Paul",4.5
"Beal, Bradley",0.7
"Pierce, Paul",6.8
"Pierce, Paul",18.6
"Wall, John",4.7
"Wall, John",1.7
"Seraphin, Kevin",2.8
"Wall, John",6.9
"Seraphin, Kevin",3.1
"Wall, John",6.1
"Wall, John",2.1
"Butler, Rasual",2.1
"Monroe, Greg",4
"Jennings, Brandon",4.2
"Tolliver, Anthony",5.1
"Jennings, Brandon",2.3
"Monroe, Greg",8.4
"Drummond, Andre",5.4
"Jennings, Brandon",2.9
"Augustin, D.J.",1.3
"Caldwell-Pope, Kentavious",1.8
"Conley, Mike",2.6
"Allen, Tony",7.3
"Prince, Tayshaun",1.7
"Udrih, Beno",1.4
"Allen, Tony",5.7
"Conley, Mike",15.2
"Conley, Mike",2.1
"Conley, Mike",2.5
"Prince, Tayshaun",5
"Carter, Vince",2
"Conley, Mike",1.9
"Conley, Mike",3.6
"Conley, Mike",5.3
"Gasol, Marc",2.9
"Paul, Chris",4.6
"Griffin, Blake",5.4
"Paul, Chris",3
"Paul, Chris",17.8
"Crawford, Jamal",5.7
"Jordan, DeAndre",2.1
"Paul, Chris",10.5
"Paul, Chris",12
"Barnes, Matt",1.4
"Farmar, Jordan",0.1
"Farmar, Jordan",1
"Farmar, Jordan",4.6
"Hawes, Spencer",3.4
"Lillard, Damian",1.4
"Aldridge, LaMarcus",4
"Kaman, Chris",3.3
"Kaman, Chris",6.2
"Lillard, Damian",16.8
"Lillard, Damian",0.8
"Aldridge, LaMarcus",5.4
"Lillard, Damian",0.2
"Matthews, Wesley",3.4
"Blake, Steve",3.4
"Kaman, Chris",0
"Aldridge, LaMarcus",3.3
"Aldridge, LaMarcus",5.9
"Batum, Nicolas",0
"McCollum, CJ",1.3
"Blake, Steve",2.5
"Burke, Trey",5.5
"Burke, Trey",1.5
"Kanter, Enes",7
"Kanter, Enes",10.1
"Favors, Derrick",4.3
"Burke, Trey",2.1
"Clark, Ian",1.9
"Burke, Trey",1.5
"Burke, Trey",2.6
"Burke, Trey",2.6
"Clark, Ian",8.4
"Favors, Derrick",32.3
"Exum, Dante",2.5
"Exum, Dante",3.1
"Booker, Trevor",0.7
"Hayward, Gordon",3.9
"Favors, Derrick",0.7
"Thompson, Tristan",3.9
"Waiters, Dion",7.3
"Waiters, Dion",6.5
"Harris, Joe",4.1
"Price, A.J.",6.4
"Dellavedova, Matthew",1.9
"Thompson, Tristan",7.3
"Love, Kevin",3.8
"Jones, James",3.1
"Irving, Kyrie",5.3
"Thompson, Tristan",5.5
"Thompson, Tristan",3.4
"Thompson, Tristan",4
"Marshall, Kendall",9.2
"Marshall, Kendall",2.4
"Knight, Brandon",5.7
"Middleton, Khris",3.3
"Dudley, Jared",0.8
"Middleton, Khris",9.5
"Antetokounmpo, Giannis",0.5
"Knight, Brandon",2.9
"Knight, Brandon",1.6
"Marshall, Kendall",3
"Bayless, Jerryd",4
"Middleton, Khris",6.3
"Knight, Brandon",4.7
"Pachulia, Zaza",2.1
"Antetokounmpo, Giannis",7.9
"Marshall, Kendall",6.8
"Knight, Brandon",2.4
"Bayless, Jerryd",1.6
"Henson, John",1.9
"Dudley, Jared",12.8
"Marshall, Kendall",7.8
"Pachulia, Zaza",4.8
"Pachulia, Zaza",2.1
"Antetokounmpo, Giannis",14.4
"Paul, Chris",3.9
"Davis, Glen",7.8
"Crawford, Jamal",4
"Farmar, Jordan",3.5
"Farmar, Jordan",4.4
"Crawford, Jamal",6.5
"Farmar, Jordan",0.1
"Bullock, Reggie",7.9
"Gibson, Taj",3.8
"Hinrich, Kirk",5.6
"Hinrich, Kirk",1.5
"Gasol, Pau",2
"Hinrich, Kirk",1.2
"Rose, Derrick",2
"Rose, Derrick",1.1
"Gibson, Taj",4.8
"Rose, Derrick",4.2
"Rose, Derrick",10.1
"Rose, Derrick",2.8
"Butler, Jimmy",1.9
"Oladipo, Victor",5.8
"Harris, Tobias",6.4
"Oladipo, Victor",6.9
"Oladipo, Victor",11.2
"Fournier, Evan",2.7
"Vucevic, Nikola",2.8
"O'Quinn, Kyle",6.4
"Frye, Channing",1
"Harris, Tobias",3.9
"Payton, Elfrid",2.5
"Payton, Elfrid",0.5
"O'Quinn, Kyle",0.4
"Frye, Channing",3.9
"Payton, Elfrid",3.6
"Oladipo, Victor",4.7
"Oladipo, Victor",2.9
"Frye, Channing",6.5
"Vucevic, Nikola",2.5
"Oladipo, Victor",6.3
"Oladipo, Victor",9.7
"Oladipo, Victor",4
"Payton, Elfrid",5.6
"Fournier, Evan",2.7
"O'Quinn, Kyle",5
"Oladipo, Victor",2.6
"Oladipo, Victor",7.3
"O'Quinn, Kyle",7
"Frye, Channing",9.8
"Oladipo, Victor",6.1
"Oladipo, Victor",5.3
"Frye, Channing",3.8
"Carter-Williams, Michael",7.3
"Sims, Henry",6.7
"Grant, Jerami",7.2
"Carter-Williams, Michael",4.7
"Mbah a Moute, Luc",4.6
"Stuckey, Rodney",3.8
"Rudez, Damjan",0.3
"Hibbert, Roy",0.9
"Rudez, Damjan",2.4
"Stuckey, Rodney",1.5
"Copeland, Chris",11.7
"Stuckey, Rodney",2.9
"Hibbert, Roy",2.2
"Stuckey, Rodney",2.3
"Allen, Lavoy",2.1
"Copeland, Chris",4.4
"Hickson, JJ",3.8
"Lawson, Ty",6.9
"Lawson, Ty",5.6
"Lawson, Ty",4.1
"Afflalo, Arron",3.9
"Chandler, Wilson",6.8
"Mozgov, Timofey",9.1
"Chandler, Wilson",3.7
"Chandler, Wilson",2.2
"Lawson, Ty",4.3
"Chandler, Wilson",7.4
"Chandler, Wilson",3.8
"Arthur, Darrell",0.3
"Williams, Deron",4.1
"Lopez, Brook",3.8
"Williams, Deron",15.1
"Williams, Deron",20.6
"Garnett, Kevin",0.3
"Garnett, Kevin",2.4
"Johnson, Joe",6.4
"Johnson, Joe",12.9
"Johnson, Joe",2.5
"Chalmers, Mario",9.4
"Wade, Dwyane",8.9
"Chalmers, Mario",3.1
"Chalmers, Mario",5.7
"Chalmers, Mario",5.2
"Napier, Shabazz",0
"Napier, Shabazz",1.8
"Williams, Shawne",1.8
"Wade, Dwyane",6.2
"Napier, Shabazz",10.8
"Haslem, Udonis",4.9
"Sullinger, Jared",6.5
"Rondo, Rajon",5
"Rondo, Rajon",3
"Olynyk, Kelly",2.4
"Rondo, Rajon",2
"Green, Jeff",2.6
"Olynyk, Kelly",6.1
"Rondo, Rajon",6.8
"Bradley, Avery",2.6
"Stephenson, Lance",5.9
"Walker, Kemba",4.5
"Walker, Kemba",5.9
"Walker, Kemba",1.3
"Jefferson, Al",2.6
"Walker, Kemba",2.3
"Walker, Kemba",9.4
"Evans, Tyreke",2.5
"Davis, Anthony",3
"Rivers, Austin",4.2
"Asik, Omer",7
"Evans, Tyreke",0.8
"Holiday, Jrue",6.7
"Holiday, Jrue",5.3
"Asik, Omer",1.1
"Rivers, Austin",0.8
"Rivers, Austin",1.3
"Rivers, Austin",1.2
"Evans, Tyreke",2.9
"Holiday, Jrue",7.2
"Davis, Anthony",3.4
"Holiday, Jrue",6.1
"Holiday, Jrue",3.3
"Lowry, Kyle",4.9
"Lowry, Kyle",2.1
"Patterson, Patrick",6.3
"Lowry, Kyle",6.5
"Valanciunas, Jonas",2.8
"Johnson, Amir",7
"Lowry, Kyle",11.7
"Johnson, Amir",4.6
"Lowry, Kyle",1.8
"Lowry, Kyle",1.7
"Hayes, Charles",2.2
"Johnson, James",2.6
"Williams, Lou",1
"Johnson, James",1.7
"Wall, John",3.9
"Humphries, Kris",2.5
"Wall, John",3.5
"Gortat, Marcin",18.7
"Wall, John",6.9
"Gortat, Marcin",3.7
"Miller, Andre",3.6
"Humphries, Kris",2.3
"Humphries, Kris",0.8
"Humphries, Kris",0.6
"Temple, Garrett",2.2
"Beal, Bradley",1.4
"Wall, John",2.6
"Gortat, Marcin",2.7
"Beal, Bradley",3.3
"Wall, John",6.8
"Wall, John",5.2
"Gortat, Marcin",2.8
"Butler, Rasual",0.9
"Jennings, Brandon",3.3
"Monroe, Greg",5.4
"Augustin, D.J.",4.7
"Augustin, D.J.",1.7
"Smith, Josh",3.3
"Drummond, Andre",2.8
"Jennings, Brandon",3.9
"Smith, Josh",2.5
"Butler, Caron",2.9
"Augustin, D.J.",1.7
"Augustin, D.J.",2.2
"Augustin, D.J.",4.1
"Augustin, D.J.",5.6
"Augustin, D.J.",5.5
"Drummond, Andre",3.6
"Lin, Jeremy",2.3
"Lin, Jeremy",2.3
"Lin, Jeremy",2.2
"Lin, Jeremy",0.2
"Bryant, Kobe",3
"Lin, Jeremy",6.4
"Bryant, Kobe",2.9
"Lin, Jeremy",0.5
"Hill, Jordan",1.9
"Hill, Jordan",1.5
"Lin, Jeremy",2
"Lin, Jeremy",0
"Hill, Jordan",2.2
"Hill, Jordan",3.5
"Marion, Shawn",13.2
"Varejao, Anderson",3.7
"Varejao, Anderson",1.7
"James, LeBron",11.9
