id,value
"Irving, Kyrie",4.4
"James, LeBron",2.4
"James, LeBron",2.6
"Bogdanovic, Bojan",2.8
"Jack, Jarrett",2.9
"Jack, Jarrett",6.1
"Johnson, Joe",6.7
"Bogdanovic, Bojan",6
"Williams, Deron",3.9
"Davies, Brandon",3.4
"Udrih, Beno",2.6
"Udrih, Beno",5.8
"Smart, Marcus",1.6
"Olynyk, Kelly",2.5
"Turner, Evan",4.1
"Pressey, Phil",3.9
"Larkin, Shane",4.1
"Larkin, Shane",2.2
"Brooks, Aaron",6
"Brooks, Aaron",2.5
"Brooks, Aaron",3.4
"Gasol, Pau",3.5
"Noah, Joakim",5.7
"Hinrich, Kirk",5.2
"Brooks, Aaron",6.7
"Mirotic, Nikola",4.4
"Bazemore, Kent",2.2
"Horford, Al",4.7
"Bazemore, Kent",3.5
"Carroll, DeMarre",3.7
"Carroll, DeMarre",2.7
"Teague, Jeff",5.3
"Curry, Stephen",3.3
"Barnes, Harrison",2.1
"Rush, Brandon",3.5
"Barnes, Harrison",5.7
"Thompson, Klay",5.7
"Barnes, Harrison",1.7
"Speights, Marreese",4.1
"Barnes, Harrison",6.3
"Livingston, Shaun",1.9
"Curry, Stephen",6.3
"Iguodala, Andre",11.2
"Green, Draymond",3
"Blake, Steve",2
"Crabbe, Allen",5.1
"Blake, Steve",2.4
"Kaman, Chris",3.6
"Blake, Steve",8.1
"Batum, Nicolas",3.4
"Aldridge, LaMarcus",0.2
"Lillard, Damian",2
"Aldridge, LaMarcus",4.4
"Blake, Steve",2.7
"Kaman, Chris",6.7
"Freeland, Joel",8.6
"Lillard, Damian",2.6
"Blake, Steve",5.5
"Matthews, Wesley",2.4
"Aldridge, LaMarcus",10.3
"Crawford, Jamal",11
"Davis, Glen",1.8
"Farmar, Jordan",2.2
"Redick, JJ",6.1
"Redick, JJ",5.1
"Crawford, Jamal",4.7
"Redick, JJ",8.8
"Paul, Chris",6.3
"Griffin, Blake",4.9
"Napier, Shabazz",4.2
"Napier, Shabazz",3.6
"Napier, Shabazz",3.4
"Napier, Shabazz",5.2
"Napier, Shabazz",4.9
"Payton, Elfrid",4.4
"Ridnour, Luke",2.1
"Harris, Tobias",5.2
"Green, Willie",2.5
"Green, Willie",2.7
"Sloan, Donald",6.5
"Sloan, Donald",3.4
"Stuckey, Rodney",4.2
"Sloan, Donald",5.7
"Stuckey, Rodney",7.1
"Stuckey, Rodney",3.6
"Allen, Lavoy",1.9
"Harris, Devin",5
"Harris, Devin",3.9
"Smith, Greg",4.9
"Villanueva, Charlie",7.8
"Livingston, Shaun",4.5
"Barbosa, Leandro",2.9
"Livingston, Shaun",3.8
"Livingston, Shaun",4.2
"Barnes, Harrison",5.5
"Barnes, Harrison",4.8
"Livingston, Shaun",3.7
"Barbosa, Leandro",9.4
"Kuzmic, Ognjen",3.9
"Livingston, Shaun",2.7
"Livingston, Shaun",0.7
"Livingston, Shaun",3.7
"Bledsoe, Eric",3.5
"Thomas, Isaiah",2.7
"Bledsoe, Eric",5.9
"Tucker, PJ",8.8
"Tucker, PJ",5.6
"Len, Alex",1.6
"Len, Alex",1.9
"Thomas, Isaiah",2.8
"Blake, Steve",4.4
"Blake, Steve",8.4
"Blake, Steve",1.8
"Lillard, Damian",2.2
"Lillard, Damian",1.2
"Blake, Steve",1.3
"Blake, Steve",4.2
"Davis, Ed",4.5
"Henry, Xavier",5.5
"Price, Ronnie",2.8
"Scott, Mike",3.8
"Teague, Jeff",5.1
"Horford, Al",2.3
"Schroder, Dennis",3.1
"Napier, Shabazz",3.9
"Napier, Shabazz",3.9
"Anderson, Ryan",2.7
"Holiday, Jrue",6.4
"Fredette, Jimmer",4.2
"Rivers, Austin",4.4
"Asik, Omer",4
"Prigioni, Pablo",2.4
"Prigioni, Pablo",3.1
"Prigioni, Pablo",5
"Prigioni, Pablo",3.7
"Udrih, Beno",4
"Pondexter, Quincy",7.5
"Udrih, Beno",1.4
"Udrih, Beno",3.9
"Bayless, Jerryd",4.4
"Bayless, Jerryd",2.9
"Bayless, Jerryd",6.6
"Bayless, Jerryd",3
"Young, Thaddeus",4.3
"Lin, Jeremy",2
"Dedmon, Dewayne",6.2
"Harkless, Maurice",1.4
"Nicholson, Andrew",2.3
"Amundson, Lou",1.7
"Smith, Jason",2.5
"Love, Kevin",2.5
"Mozgov, Timofey",2.8
"Thompson, Tristan",2.2
"James, LeBron",3.3
"Love, Kevin",2.5
"Thompson, Tristan",2.3
"Chalmers, Mario",1.6
"Haslem, Udonis",0.5
"Ennis, James",1.8
"Granger, Danny",2.7
"Bosh, Chris",2.7
"Wade, Dwyane",1.8
"Bosh, Chris",1.9
"Andersen, Chris",0.9
"Bosh, Chris",2.9
"Williams, Shawne",1.3
"Wiggins, Andrew",1.6
"Dieng, Gorgui",0.7
"Hummel, Robbie",3.1
"Watson, CJ",3
"Hill, Solomon",0.5
"Hibbert, Roy",2.8
"Hibbert, Roy",2.1
"Hill, Solomon",1.9
"Hibbert, Roy",2.8
"Hibbert, Roy",2.4
"Splitter, Tiago",2
"Duncan, Tim",7
"Splitter, Tiago",1.7
"Green, Danny",2.1
"Duncan, Tim",2.5
"Splitter, Tiago",0.7
"Hardaway Jr., Tim",0.7
"Smith, Jason",2
"Smith, Jason",1.7
"Larkin, Shane",2.5
"Larkin, Shane",1
"Larkin, Shane",2.2
"Acy, Quincy",1
"Valanciunas, Jonas",2.1
"Hansbrough, Tyler",2.5
"Ross, Terrence",1.9
"Vasquez, Greivis",1.9
"Patterson, Patrick",1.7
"Evans, Tyreke",3
"Green, Jeff",1.1
"Zeller, Tyler",2.3
"Bradley, Avery",2.9
"Sullinger, Jared",3.1
"Turner, Evan",1.8
"Howard, Dwight",3.6
"Harden, James",3.9
"Henson, John",1.7
"Henson, John",1.2
"Ibaka, Serge",2.1
"Perkins, Kendrick",3.4
"Pachulia, Zaza",2.1
"Bayless, Jerryd",3.4
"Gee, Alonzo",3.4
"Hickson, JJ",2.8
"Nurkic, Jusuf",4
"Gobert, Rudy",1.2
"Mbah a Moute, Luc",0.7
"Sampson, JaKarr",3.1
"Dellavedova, Matthew",2.4
"Johnson, Joe",3.2
"Plumlee, Mason",2.1
"Smith, Jason",4.6
"Smith, J.R.",3.6
"Anthony, Carmelo",2.8
"Gasol, Pau",2.1
"Gasol, Pau",3.7
"Gasol, Pau",2.7
"Mirotic, Nikola",3.8
"Brand, Elton",1.9
"Brand, Elton",1.6
"Bazemore, Kent",2.5
"Brand, Elton",1.8
"Green, Draymond",3
"Speights, Marreese",3.1
"Barnes, Harrison",3
"Rush, Brandon",2.5
"Speights, Marreese",3.4
"Barnes, Harrison",2.4
"Speights, Marreese",2.4
"Livingston, Shaun",1.1
"Kaman, Chris",4.3
"Crabbe, Allen",2.4
"Kaman, Chris",1.8
"Davis, Glen",2.8
"Frye, Channing",2
"Dedmon, Dewayne",0.2
"Vucevic, Nikola",1.6
"Price, A.J.",0.8
"Mahinmi, Ian",1.8
"Scola, Luis",4.7
"Scola, Luis",0.1
"Aminu, Al-Farouq",2.8
"Aminu, Al-Farouq",1.3
"Parsons, Chandler",2.9
"Parsons, Chandler",3.2
"Crowder, Jae",2.2
"Wright, Brandan",1.9
"Len, Alex",3.3
"Tucker, PJ",0.3
"Len, Alex",2.2
"Len, Alex",2.3
"Plumlee, Mason",1.7
"Anderson, Alan",4.2
"Lopez, Brook",5.3
"Johnson, Joe",6.4
"Lopez, Brook",5.1
"Williams, Deron",2.1
"Plumlee, Mason",2
"Plumlee, Mason",6
"Plumlee, Mason",0.9
"Young, Thaddeus",2.5
"Plumlee, Mason",2.3
"Plumlee, Mason",3.1
"Johnson, Joe",6
"Lopez, Brook",5.6
"Lopez, Brook",1.9
"Lopez, Brook",6.2
"Sacre, Robert",2.3
"Sacre, Robert",2.6
"Sacre, Robert",4.6
"Sacre, Robert",5
"Sacre, Robert",3.4
"Sacre, Robert",0.8
"Sacre, Robert",2.9
"Sacre, Robert",2.5
"Kelly, Ryan",2
"Sacre, Robert",2.6
"Sacre, Robert",3.8
"Hill, Jordan",5.5
"Hill, Jordan",4.1
